Local Time,City,Country code,timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,UTC Time
2025-12-04 00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,735.0,31.0,14.5,67.5,59.33,3.0,2025-12-03T17:00:00
2025-12-04 01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,655.0,31.5,53.3,66.3,56.25,3.5,2025-12-03T18:00:00
2025-12-04 02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,626.0,32.5,48.6,70.3,59.0,4.5,2025-12-03T19:00:00
2025-12-04 03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,165,629.0,21.0,22.6,76.7,67.0,3.5,2025-12-03T20:00:00
2025-12-04 04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,153,713.0,30.5,23.7,77.0,57.5,3.0,2025-12-03T21:00:00
2025-12-04 05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,203,1063.3,34.3,25.0,118.8,95.0,3.3,2025-12-03T22:00:00
2025-12-04 06:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,168,906.0,35.0,15.8,77.5,69.0,3.0,2025-12-03T23:00:00
2025-12-04 07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,175,1764.0,42.0,27.5,90.3,74.0,4.0,2025-12-04T00:00:00
2025-12-04 08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,180,1495.0,41.5,12.4,95.0,78.33,4.5,2025-12-04T01:00:00
2025-12-04 09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,186,1628.0,47.5,18.6,103.0,82.67,4.5,2025-12-04T02:00:00
2025-12-04 10:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,199,1758.0,55.0,37.2,118.0,92.25,4.0,2025-12-04T03:00:00
2025-12-04 11:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,199,1248.8,39.7,71.8,117.9,92.33,59.3,2025-12-04T04:00:00
2025-12-04 12:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,200,1720.0,61.0,47.1,118.0,93.25,5.0,2025-12-04T05:00:00
2025-12-04 13:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,199,230.5,9.0,141.0,117.7,92.5,170.0,2025-12-04T06:00:00
